node,V1,V2
1,-1,-16
2,-18,1
3,-4,-13
4,-14,3
5,2,4
6,-17,5
7,-8,6
8,-10,7
9,-12,8
10,-11,9
11,-2,10
12,-15,11
13,-5,12
14,-7,13
15,-3,-6
16,14,15
17,-9,16
